alpha_deg,Fx,Fy,D,L,CD,CL
-1.500000000000000000e+01,-1.448424533009529114e-02,6.257012486457824707e-03,-1.561014063558543649e-02,2.295011410716884127e-03,-3.122028127117087298e-02,4.590022821433768253e-03
-1.450000000000000000e+01,-1.450273580849170685e-02,6.187781691551208496e-03,-1.559008625703692426e-02,2.359491193319511460e-03,-3.118017251407384852e-02,4.718982386639022919e-03
-1.400000000000000000e+01,-1.452240161597728729e-02,6.114348769187927246e-03,-1.557021906784582591e-02,2.419439552107041733e-03,-3.114043813569165181e-02,4.838879104214083467e-03
-1.350000000000000000e+01,-1.454320736229419708e-02,6.036311388015747070e-03,-1.555052629352379236e-02,2.474483289537809071e-03,-3.110105258704758471e-02,4.948966579075618141e-03
-1.300000000000000000e+01,-1.456510834395885468e-02,5.953550338745117188e-03,-1.553106298649714785e-02,2.524524750659068971e-03,-3.106212597299429570e-02,5.049049501318137942e-03
-1.250000000000000000e+01,-1.458804868161678314e-02,5.865707993507385254e-03,-1.551182525312205622e-02,2.569235668233349305e-03,-3.102365050624411244e-02,5.138471336466698611e-03
-1.200000000000000000e+01,-1.461196783930063248e-02,5.772620439529418945e-03,-1.549285656004316392e-02,2.608475893228911699e-03,-3.098571312008632783e-02,5.216951786457823398e-03
-1.150000000000000000e+01,-1.463679596781730652e-02,5.674079060554504395e-03,-1.547418738738134611e-02,2.642062468819409652e-03,-3.094837477476269222e-02,5.284124937638819304e-03
-1.100000000000000000e+01,-1.466245017945766449e-02,5.569830536842346191e-03,-1.545583344125521161e-02,2.669769673660386811e-03,-3.091166688251042322e-02,5.339539347320773621e-03
-1.050000000000000000e+01,-1.468884851783514023e-02,5.459770560264587402e-03,-1.543784654874129532e-02,2.691516169031119531e-03,-3.087569309748259064e-02,5.383032338062239061e-03
-1.000000000000000000e+01,-1.471589319407939911e-02,5.343675613403320312e-03,-1.542024524233968213e-02,2.707105137768786411e-03,-3.084049048467936427e-02,5.414210275537572822e-03
-9.500000000000000000e+00,-1.474349480122327805e-02,5.221471190452575684e-03,-1.540308795784024569e-02,2.716483335023592641e-03,-3.080617591568049138e-02,5.432966670047185281e-03
-9.000000000000000000e+00,-1.477153319865465164e-02,5.093067884445190430e-03,-1.538640246294196469e-02,2.719586873570507997e-03,-3.077280492588392938e-02,5.439173747141015994e-03
-8.500000000000000000e+00,-1.479990035295486450e-02,4.958361387252807617e-03,-1.537022870206562926e-02,2.716333512327051905e-03,-3.074045740413125852e-02,5.432667024654103810e-03
-8.000000000000000000e+00,-1.482848450541496277e-02,4.817411303520202637e-03,-1.535462878325255347e-02,2.706802416713879455e-03,-3.070925756650510693e-02,5.413604833427758910e-03
-7.500000000000000000e+00,-1.485716830939054489e-02,4.670232534408569336e-03,-1.533965084440962884e-02,2.691028441062994110e-03,-3.067930168881925768e-02,5.382056882125988220e-03
-7.000000000000000000e+00,-1.488582510501146317e-02,4.516810178756713867e-03,-1.532532911275567324e-02,2.669016829027720354e-03,-3.065065822551134647e-02,5.338033658055440708e-03
-6.500000000000000000e+00,-1.491433754563331604e-02,4.357233643531799316e-03,-1.531171888298733970e-02,2.640873775435302953e-03,-3.062343776597467940e-02,5.281747550870605906e-03
-6.000000000000000000e+00,-1.494258921593427658e-02,4.191711544990539551e-03,-1.529888531499962005e-02,2.606823022579644183e-03,-3.059777062999924011e-02,5.213646045159288367e-03
-5.500000000000000000e+00,-1.497045159339904785e-02,4.020348191261291504e-03,-1.528686390169404705e-02,2.566985107156935161e-03,-3.057372780338809409e-02,5.133970214313870323e-03
-5.000000000000000000e+00,-1.499781385064125061e-02,3.843337297439575195e-03,-1.527571155776388280e-02,2.521566632943809602e-03,-3.055142311552776560e-02,5.043133265887619204e-03
-4.500000000000000000e+00,-1.502456516027450562e-02,3.660872578620910645e-03,-1.526547819217396670e-02,2.470773534036257817e-03,-3.053095638434793341e-02,4.941547068072515633e-03
-4.000000000000000000e+00,-1.505059003829956055e-02,3.473192453384399414e-03,-1.525620521558907448e-02,2.414855842289760114e-03,-3.051241043117814897e-02,4.829711684579520228e-03
-3.500000000000000000e+00,-1.507578976452350616e-02,3.280550241470336914e-03,-1.524794317877560187e-02,2.354076406524097890e-03,-3.049588635755120375e-02,4.708152813048195780e-03
-3.000000000000000000e+00,-1.510005444288253784e-02,3.083243966102600098e-03,-1.524072486436079017e-02,2.288742698815116310e-03,-3.048144972872158034e-02,4.577485397630232621e-03
-2.500000000000000000e+00,-1.512330025434494019e-02,2.881497144699096680e-03,-1.523459536369851063e-02,2.219085505868276936e-03,-3.046919072739702125e-02,4.438171011736553873e-03
-2.000000000000000000e+00,-1.514542289078235626e-02,2.675592899322509766e-03,-1.522957355394006541e-02,2.145395364185501662e-03,-3.045914710788013083e-02,4.290790728371003324e-03
-1.500000000000000000e+00,-1.516633946448564529e-02,2.465844154357910156e-03,-1.522569061370284381e-02,2.067990686970546440e-03,-3.045138122740568762e-02,4.135981373941092880e-03
-1.000000000000000000e+00,-1.518596336245536804e-02,2.252519130706787109e-03,-1.522296234605725190e-02,1.987144456389591633e-03,-3.044592469211450381e-02,3.974288912779183267e-03
-5.000000000000000000e-01,-1.520420983433723450e-02,2.035841345787048340e-03,-1.522139674638811439e-02,1.903083750342697339e-03,-3.044279349277622879e-02,3.806167500685394677e-03
0.000000000000000000e+00,-1.522100623697042465e-02,1.816123723983764648e-03,-1.522100623697042465e-02,1.816123723983764648e-03,-3.044201247394084930e-02,3.632247447967529297e-03
5.000000000000000000e-01,-1.523627154529094696e-02,1.593649387359619141e-03,-1.522178435680629320e-02,1.726548570577009310e-03,-3.044356871361258640e-02,3.453097141154018619e-03
1.000000000000000000e+00,-1.524993032217025757e-02,1.368656754493713379e-03,-1.522372132996493814e-02,1.634596283563535379e-03,-3.044744265992987628e-02,3.269192567127070757e-03
1.500000000000000000e+00,-1.526191178709268570e-02,1.141354441642761230e-03,-1.522680473487815662e-02,1.540473603911618515e-03,-3.045360946975631325e-02,3.080947207823237031e-03
2.000000000000000000e+00,-1.527213864028453827e-02,9.120255708694458008e-04,-1.523100603266109784e-02,1.444459941650526151e-03,-3.046201206532219569e-02,2.888919883301052302e-03
2.500000000000000000e+00,-1.528054196387529373e-02,6.809085607528686523e-04,-1.523629745954470718e-02,1.346788365754564244e-03,-3.047259491908941437e-02,2.693576731509128488e-03
3.000000000000000000e+00,-1.528704911470413208e-02,4.483312368392944336e-04,-1.524263490119374086e-02,1.247779148011655959e-03,-3.048526980238748171e-02,2.495558296023311917e-03
3.500000000000000000e+00,-1.529160235077142715e-02,2.144426107406616211e-04,-1.524998902173482600e-02,1.147572622707068984e-03,-3.049997804346965199e-02,2.295145245414137967e-03
