step,loss,pde,div,near_pde,near_div,bc_vel,wall,gauge,far_cp,outflow_cp,kutta,data,CL_pressure,CD_pressure,CM_ref,cp_mae_vs_xfoil,time_sec
1,18.810585021972656,0.04230624437332153,0.001140197622589767,0.1722709834575653,1.4355804523802362e-05,1.5519556999206543,0.018285056576132774,0.605769693851471,0.4225481152534485,0.43306976556777954,0.0,0.0,0.01729394574272865,-0.03700072463318318,-0.00047726162833555685,,0.7255568504333496
500,0.07012546807527542,0.0030505312606692314,0.004842801485210657,1.9206492652301677e-05,0.0011151557555422187,0.0014350373530760407,0.00012007007899228483,1.1865996384585742e-05,0.0007738344138488173,0.0005079545080661774,0.0,0.0,-0.000489632536786562,-0.0026769555422115655,0.00013642974037809952,,27.072972536087036
1000,0.017749637365341187,0.0023884912952780724,0.0014339352492243052,1.5977704606484622e-05,1.178398906631628e-05,0.00029834877932444215,9.624881204217672e-05,8.576384402658732e-08,0.0011505787260830402,0.0002469283062964678,0.0,0.0,-6.677548504313379e-05,-0.00440363736174842,0.00011443520969368036,,53.40030598640442
1500,0.012750448659062386,0.0027825692668557167,0.000794509775005281,2.8619295335374773e-05,5.067221081844764e-06,0.0002184411569032818,6.846727046649903e-05,1.8437969373508167e-08,0.0013374027330428362,0.00019273041107226163,0.0,0.0,4.3395908129322664e-05,-0.005416410175783145,0.00011463965308675453,,79.78505539894104
2000,0.012770132161676884,0.0032146512530744076,0.000696473871357739,3.430799915804528e-05,3.1599170142726507e-06,0.0001976321655092761,7.377185102086514e-05,1.9192184481653385e-06,0.0020347367972135544,0.000385538034606725,0.0,0.0,0.00023230657311394237,-0.0060450211609614475,0.00011175227759668317,,106.27138161659241
2500,0.011232001706957817,0.002926466055214405,0.0005437509389594197,3.493455733405426e-05,3.8859252526890486e-05,0.0001786798529792577,5.344271630747244e-05,1.3158934279999812e-06,0.0024429415352642536,0.0007797438884153962,0.0,0.0,0.0004982970608739024,-0.0063646358497755785,0.00010064776082055298,,132.82539415359497
3000,0.010692859068512917,0.002990851178765297,0.0005144221941009164,4.779808296007104e-05,1.4345775980473263e-06,0.00014530964836012572,6.331349140964448e-05,4.453172095963964e-06,0.0026620980352163315,0.0010631612967699766,0.0,0.0,0.0001733726759188107,-0.0066592387615368705,0.00014137003224512848,,159.37339043617249
3500,0.008901829831302166,0.002937628421932459,0.0004075059841852635,3.539142926456407e-05,1.7692359506327193e-06,0.00010757656855275854,4.923063897877e-05,7.579745897601242e-08,0.0021270611323416233,0.0007865640800446272,0.0,0.0,0.00047805523241210737,-0.006665047899854267,0.00011410985772901394,,185.89203333854675
4000,0.010766912251710892,0.0031750467605888844,0.0004162525583524257,0.00011404961696825922,4.12965782743413e-05,0.00013059510092716664,4.4764470658265054e-05,5.955963500170469e-10,0.002092569600790739,0.0011660685995593667,0.0,0.0,-0.0007036335423049713,-0.006926797766114349,0.00021234677912153332,,212.37143564224243
4500,0.007688523735851049,0.0030039367265999317,0.0003500484745018184,3.780232509598136e-05,4.79763775729225e-06,8.561619324609637e-05,3.20806066156365e-05,1.758906478244171e-07,0.0019751624204218388,0.0008250655373558402,0.0,0.0,0.0007704341792748894,-0.0068299232998608765,9.722667510986965e-05,,238.97294807434082
5000,0.018744828179478645,0.0030506409239023924,0.0002919012331403792,6.759692769264802e-05,2.9303337214514613e-06,0.00035042024683207273,0.0001999158994294703,1.0877599265768367e-07,0.0023049544543027878,0.0012524118646979332,0.0,0.0,0.0010110327869474977,-0.007139430544590475,7.13455720038371e-05,,265.4919183254242
