step,loss,pde,div,near_pde,near_div,bc_vel,wall,gauge,far_cp,outflow_cp,kutta,data,CL_pressure,CD_pressure,CM_ref,cp_mae_vs_xfoil,time_sec
1,19.23313331604004,0.04230624437332153,0.001140197622589767,0.1722709834575653,1.4355804523802362e-05,1.5519556999206543,0.018285056576132774,0.605769693851471,0.4225481152534485,0.43306976556777954,0.0,0.0,0.015567392283926063,-0.03254404779067006,-0.000445500662837571,,0.05225944519042969
500,0.04952153563499451,0.0032231793738901615,0.004476800095289946,2.1365154680097476e-05,0.00023343184147961438,0.0009102041367441416,0.00019670496112667024,8.184260877897032e-07,9.396301175002009e-05,3.05423054669518e-05,0.0,0.0,-0.0004246876777179978,-0.002785243067793871,0.0001620308900193452,,26.620042085647583
1000,0.02697099931538105,0.002366949338465929,0.0014460093807429075,2.002438486670144e-05,5.4300235206028447e-05,0.00037623720709234476,0.0002442894037812948,2.027468781307107e-06,0.00010888386896112934,3.977369487984106e-05,0.0,0.0,-5.5029007850818416e-05,-0.004402247885252018,0.00013070122723396384,,53.17961835861206
1500,0.013484778814017773,0.0026817023754119873,0.0008787739789113402,2.8298400138737634e-05,1.242132748302538e-05,0.0002222119364887476,7.203104178188369e-05,3.910722412570067e-08,5.4085969168227166e-05,2.6783727662405e-05,0.0,0.0,-4.226054763484076e-05,-0.005254737806314444,0.0001371166480470488,,79.78184628486633
2000,0.013468723744153976,0.0032018714118748903,0.0007128212600946426,3.92785768781323e-05,3.194534656358883e-05,0.0002247871016152203,6.75402843626216e-05,1.7508172689417734e-08,4.6149965783115476e-05,2.5661196559667587e-05,0.0,0.0,0.00016766927438822515,-0.006035982660593347,0.0001298881402302058,,106.23527812957764
2500,0.010927612893283367,0.0029855670873075724,0.0005974940722808242,3.6210658436175436e-05,2.7344290174369235e-06,0.0001735948899295181,5.524449807126075e-05,3.3451524217298356e-08,3.957300941692665e-05,3.0670420528622344e-05,0.0,0.0,0.0005250127804545196,-0.006131474303709185,0.00010314724277032169,,132.9135866165161
3000,0.02709244005382061,0.003206790192052722,0.0005934701766818762,3.924145858036354e-05,0.00015599273319821805,0.0002821355010382831,0.0002907626621890813,6.077551461203257e-06,4.0463884943164885e-05,3.119384928140789e-05,0.0,0.0,0.0006490983011793684,-0.006806732724056841,9.43782930776611e-05,,159.516263961792
3500,0.011078954674303532,0.0029369136318564415,0.00040133518632501364,0.00010596610081847757,5.5235625040950254e-05,0.0001469311973778531,4.856699888478033e-05,8.318239679283579e-07,7.249778718687594e-05,5.80001542402897e-05,0.0,0.0,0.001636909438741669,-0.00697309365532513,1.976082540779047e-05,,186.03805303573608
4000,0.01154639944434166,0.0032210180070251226,0.0004369694215711206,0.00015048737986944616,5.981251160847023e-05,0.0001422523200744763,3.862859739456326e-05,5.059357022219046e-07,8.4951680037193e-05,5.727851021219976e-05,0.0,0.0,0.0024096966627181688,-0.0067256938335016545,-4.9808085754580664e-05,,212.56304502487183
4500,0.00946036446839571,0.003020679112523794,0.0003431304357945919,0.00014506166917271912,7.678801921429113e-06,0.00012599473120644689,3.546655352693051e-05,5.94895311678556e-07,8.597064879722893e-05,6.278289947658777e-05,0.0,0.0,0.002338939362287304,-0.007161824846846112,-3.2402966002710934e-05,,239.22213768959045
5000,0.007881713099777699,0.0031977714970707893,0.00033694785088300705,3.8728623621864244e-05,1.4055174688110128e-05,7.754442049190402e-05,3.057935100514442e-05,7.577131100333645e-08,2.6325855287723243e-05,1.4655052837042604e-05,0.0,0.0,0.001041098151204573,-0.007071581043218201,7.099195250952553e-05,,265.76719307899475
