step,loss,pde,div,near_pde,near_div,bc_vel,wall,gauge,far_cp,outflow_cp,kutta,data,CL_pressure,CD_pressure,CM_ref,cp_mae_vs_xfoil,time_sec
1,11.691192626953125,0.046738069504499435,0.06716988235712051,0.0396084226667881,0.04513873904943466,0.9984076023101807,0.0005069617182016373,0.00032331355032511055,0.0003230582515243441,0.0004283825110178441,0.0,0.0,-0.006020575143608878,4.294630257735486e-05,0.0005400066934968858,,0.0994558334350586
500,0.10309496521949768,0.015952616930007935,0.010615929961204529,0.0011019677622243762,0.000560251995921135,0.0006908536888659,9.857640543486923e-05,6.276450221776031e-07,0.0003700442612171173,0.00016740962746553123,0.0,0.0,-0.0008652172319990026,-0.0007885497006602391,-7.371766765143419e-05,,43.95444369316101
1000,0.06330186873674393,0.009131761267781258,0.00550490478053689,0.0006357798120006919,0.0007263538427650928,0.00026465317932888865,6.228337588254362e-05,1.68282952017762e-08,0.0004195431829430163,0.00014901607937645167,0.0,0.0,0.000673074641906322,-0.001303684361229781,-0.00013088072660821272,,87.86232209205627
1500,0.053149327635765076,0.006200610194355249,0.006585169583559036,0.00036121124867349863,0.0003239119832869619,0.00014727955567650497,4.919057755614631e-05,1.9183671895461885e-07,0.00036117545096203685,0.00013795698760077357,0.0,0.0,0.0011479217385653492,-0.002023916463941979,-0.00014964413410721838,,131.87212204933167
2000,0.03517362102866173,0.004389354959130287,0.003990826662629843,0.00020695914281532168,0.0003076840075664222,8.066126611083746e-05,3.6002675187774e-05,1.1533023069887349e-07,0.0002686220977921039,9.273442992707714e-05,0.0,0.0,0.0016325449896933523,-0.0026982846617193833,-0.00023582380682066239,,175.75560903549194
2500,0.03738786652684212,0.004220360890030861,0.0027954019606113434,0.00019566145783755928,0.0007562346290796995,6.835392559878528e-05,2.850169039447792e-05,5.674444309988758e-07,0.0002427605213597417,0.00010039500193670392,0.0,0.0,0.001622169834337221,-0.0033613386874172296,-0.0002624059658979383,,219.71202182769775
3000,0.0287924837321043,0.0041055986657738686,0.003387385280802846,0.00015100801829248667,0.00023559881083201617,4.3728137825382873e-05,2.177865826524794e-05,1.6879027953109471e-06,0.00022273100330494344,0.00010230097541352734,0.0,0.0,0.0019501060539635917,-0.004037211387380685,-0.0003425612843443483,,262.9297344684601
3500,0.019106369465589523,0.0029718359000980854,0.0023471296299248934,9.478497668169439e-05,0.00010728182678576559,4.0320319385500625e-05,1.8043860109173693e-05,3.3139493371692197e-09,0.00016717612743377686,6.25860266154632e-05,0.0,0.0,0.001907487746856171,-0.004618575276146825,-0.00036617208691378574,,306.1596806049347
4000,0.020895101130008698,0.00382255669683218,0.0024930115323513746,0.00010371756798122078,0.00011277935846010223,5.348689228412695e-05,1.5525798517046496e-05,3.566441364455386e-06,0.0001435325830243528,4.6131128328852355e-05,0.0,0.0,0.0013967433770594685,-0.005182465087453527,-0.00037114866309782835,,350.08399510383606
4500,0.018807530403137207,0.0039504049345850945,0.0021442114375531673,7.557043863926083e-05,0.00010669308539945632,5.5317421356448904e-05,1.3862500054528937e-05,2.0236606701473647e-07,0.0001648075703997165,6.0644142649834976e-05,0.0,0.0,0.0011420906706801938,-0.005930999538905527,-0.00035750809077724974,,393.779611825943
5000,0.016624988988041878,0.0036560920998454094,0.0017927985172718763,7.660145638510585e-05,0.00011543891014298424,3.6027638998348266e-05,1.1360050848452374e-05,1.832170141824463e-06,0.00019769420032389462,8.813276508590207e-05,0.0,0.0,0.0008121362470883486,-0.006461666886679834,-0.00032857724303918777,,436.27110862731934
