step,loss,pde,div,near_pde,near_div,bc_vel,wall,gauge,far_cp,outflow_cp,kutta,data,CL_pressure,CD_pressure,CM_ref,cp_mae_vs_xfoil,time_sec
1,18.98790740966797,0.04230624437332153,0.001140197622589767,0.1722709834575653,1.4355804523802362e-05,1.5519556999206543,0.018285056576132774,0.605769693851471,0.4225481152534485,0.43306976556777954,0.08866128325462341,0.0,0.017537674070745145,-0.03814372448828786,-0.0004689644037516108,,0.05244326591491699
500,0.03996014595031738,0.002977249911054969,0.004628531169146299,2.3313879864872433e-05,9.268253052141517e-05,0.0006801486015319824,8.796741894911975e-05,3.925071112576006e-08,0.0007372291292995214,0.0004970600130036473,0.00027677585603669286,0.0,-0.00039534427612183563,-0.002734478856827873,0.00012154751930264218,,27.324642181396484
1000,0.019465042278170586,0.00230784947052598,0.0014404656831175089,1.870731830422301e-05,2.037621379713528e-05,0.00039186282083392143,0.0001034391752909869,2.48624445475798e-08,0.001097761676646769,0.00021349906455725431,0.0001348275109194219,0.0,0.00014697663187276293,-0.004441064853800579,9.296781187809449e-05,,54.44228458404541
1500,0.015050369314849377,0.002724538091570139,0.0008346527465619147,2.616887286421843e-05,4.472805812838487e-05,0.0002856773789972067,7.950358849484473e-05,8.375457838383227e-08,0.0013173301704227924,0.0001690409262664616,8.214049739763141e-05,0.0,4.59147123391739e-05,-0.005331470004408846,0.00010345820169098147,,79.80010843276978
2000,0.013179426081478596,0.003178703598678112,0.0007125700358301401,3.071485843975097e-05,2.8908903914270923e-05,0.00023307837545871735,6.174069130793214e-05,3.601900289140758e-06,0.0018327073194086552,0.0003333650529384613,6.55626499792561e-05,0.0,0.0002809724517058024,-0.005712676162648316,9.58364938158443e-05,,107.40037655830383
2500,0.06644609570503235,0.0031326920725405216,0.0005294580478221178,5.874442285858095e-05,0.00020857388153672218,0.00045067176688462496,0.0010270274942740798,4.055353656440275e-06,0.0024440244305878878,0.0008169476059265435,2.2523941879626364e-05,0.0,0.0005920610024134601,-0.0064635724481227055,9.076670307638438e-05,,134.74336409568787
3000,0.015172398649156094,0.0031117575708776712,0.0004976736381649971,4.78513102279976e-05,1.0799297342600767e-05,0.0001324662152910605,0.00015019737475086004,5.645167675538687e-07,0.002610946074128151,0.0009670220897533,2.1339797967812046e-05,0.0,0.0005724923090906774,-0.006679047717440898,9.790026080269167e-05,,162.13118648529053
3500,0.00939641147851944,0.0028500156477093697,0.0004271125653758645,6.1520651797764e-05,6.984697392908856e-06,0.00014305906370282173,4.2609743104549125e-05,1.108495979451618e-07,0.002192901447415352,0.0006795746739953756,4.7371984692290425e-05,0.0,0.000819721024588309,-0.006743895347436972,8.983363260820984e-05,,189.53676223754883
4000,0.009447772055864334,0.003225068561732769,0.0004171632172074169,5.014477937947959e-05,2.199785376433283e-05,0.00011099047696916386,4.073145828442648e-05,1.6288615825033048e-06,0.0021783635020256042,0.0009383333963342011,2.3687629436608404e-05,0.0,0.0002257899148137129,-0.007096571396122419,0.00014540386198359442,,217.06681299209595
4500,0.029804550111293793,0.0029008430428802967,0.00036976049887016416,5.4314921726472676e-05,4.932937372359447e-06,0.00030332827009260654,0.0004268086049705744,1.0063433819595957e-06,0.0021443036384880543,0.0010242266580462456,1.9189035810995847e-05,0.0,0.000127775314031564,-0.007129421724461229,0.0001532672574554722,,244.3178906440735
5000,0.012726113200187683,0.002987429965287447,0.0003489959635771811,3.968083910876885e-05,2.716455128393136e-05,0.000108827167423442,0.00011839120998047292,4.3253037262935834e-10,0.0021831472404301167,0.0010727449553087354,2.288610630785115e-05,0.0,0.0005699389645053952,-0.007044437780371455,0.00012455920237574789,,271.66614532470703
