step,loss,pde,div,near_pde,near_div,bc_vel,wall,gauge,far_cp,outflow_cp,kutta,data,CL_pressure,CD_pressure,CM_ref,cp_mae_vs_xfoil,time_sec
1,18.810585021972656,0.04230624437332153,0.001140197622589767,0.1722709834575653,1.4355804523802362e-05,1.5519556999206543,0.018285056576132774,0.605769693851471,0.4225481152534485,0.43306976556777954,0.0,0.0,0.01729394606445431,-0.037000724598012194,-0.0004772616756444012,,0.05069994926452637
500,0.0642501562833786,0.003038775408640504,0.004789268597960472,1.9063330910285003e-05,0.0009186495444737375,0.0012876391410827637,0.0001163287743111141,8.581147085351404e-06,0.000765637494623661,0.0005015825154259801,0.0,0.0,-0.0004960441227966318,-0.0026909989986219807,0.00013730620435285779,,26.487440824508667
1000,0.022547243162989616,0.0024133045226335526,0.0014012743486091495,1.9483850337564945e-05,0.00013883646170143038,0.00039947478217072785,0.00012317665095906705,2.420341388642555e-06,0.0010966064874082804,0.00022945560340303928,0.0,0.0,1.1795279676368915e-05,-0.004494951103896782,0.0001156529543365932,,53.12547039985657
1500,0.013517621904611588,0.002789560705423355,0.0008342756191268563,2.5913454010151327e-05,3.4543882065918297e-05,0.0002178673748858273,6.855554966023192e-05,2.1985265163948498e-07,0.0012633809819817543,0.00017402910452801734,0.0,0.0,-7.754172536750698e-05,-0.005285948979027172,0.00013374634832636397,,79.98470282554626
2000,0.012939595617353916,0.0032641575671732426,0.0007296626572497189,3.09262759401463e-05,3.206116161891259e-05,0.00019893399439752102,6.170312553877011e-05,2.1421910787466913e-06,0.0019674403592944145,0.0003440168802626431,0.0,0.0,0.00028439941099067244,-0.005893775183937993,0.00011134110914455889,,107.0413088798523
2500,0.01055970136076212,0.003053171094506979,0.0005222372710704803,3.9441711123799905e-05,9.624010999687016e-06,0.00016121003136504441,5.392539969761856e-05,7.635076570977617e-08,0.0024410048499703407,0.0007630533073097467,0.0,0.0,0.0006490412512852961,-0.006415344301620684,9.459219870307754e-05,,133.635755777359
3000,0.010347007773816586,0.0030886800959706306,0.00048406500718556345,4.877373430645093e-05,2.942600258393213e-05,0.00013867845700588077,4.7485104005318135e-05,7.056584649944853e-07,0.0026346989907324314,0.0009982460178434849,0.0,0.0,0.0002333763915962785,-0.0067269434906705545,0.00013557133045057762,,160.41495656967163
3500,0.01036859955638647,0.0028063885401934385,0.00039691064739599824,9.847583714872599e-05,4.861680736212293e-06,0.00017979381664190441,5.394906474975869e-05,2.740397349043633e-07,0.0023002547677606344,0.001194111886434257,0.0,0.0,-0.0009203453377918682,-0.006920530259045936,0.00023799795289341716,,187.04035449028015
4000,0.010848259553313255,0.0031784723978489637,0.00043128637480549514,4.553791950456798e-05,9.25081258174032e-05,0.0001392651756759733,3.629715502029285e-05,3.035350744085008e-07,0.002009766409173608,0.0008770126732997596,0.0,0.0,0.0007848956638933573,-0.006857894944677281,9.253439115071774e-05,,213.6534719467163
4500,0.007863693870604038,0.0030076359398663044,0.00033440772676840425,4.2493607907090336e-05,1.4141333849693183e-05,8.745098602958024e-05,3.2028998248279095e-05,2.9688158065255266e-07,0.002310770098119974,0.0010031156707555056,0.0,0.0,0.0005447430638213911,-0.007079618235666447,0.00012095038774091044,,240.22646236419678
5000,0.008126758970320225,0.0030436706729233265,0.0003157421015202999,4.0213355532614514e-05,7.4095969466725364e-06,8.946676825871691e-05,4.11823348258622e-05,2.6866638336286996e-07,0.002184949116781354,0.0010342034511268139,0.0,0.0,0.0007013838779264008,-0.0071533552866451106,0.0001132699124687872,,266.93780851364136
