step,loss,pde,div,near_pde,near_div,bc_vel,wall,gauge,far_cp,outflow_cp,kutta,data,CL_pressure,CD_pressure,CM_ref,cp_mae_vs_xfoil,time_sec
1,18.988025665283203,0.04232001304626465,0.001140197622589767,0.1722813844680786,1.4355804523802362e-05,1.5519556999206543,0.018285056576132774,0.605769693851471,0.4225481152534485,0.43306976556777954,0.08866128325462341,0.0,0.017533650863370363,-0.03813853353442237,-0.0004687845612125485,,0.051796913146972656
500,0.04143395647406578,0.003110958030447364,0.004683896899223328,2.1653089788742363e-05,0.00013614699128083885,0.000698510033544153,8.819236245471984e-05,1.2838631269218581e-09,0.001027971738949418,0.000636480690445751,0.00028466188814491034,0.0,-0.00047949336483900774,-0.00024391873059776155,6.803790625956735e-05,,27.41065502166748
1000,0.017691945657134056,0.0022081597708165646,0.0014204467879608274,7.5114721767022274e-06,1.930588041432202e-05,0.0003166921669617295,9.0526242274791e-05,5.661469799633778e-07,0.0004644551663659513,0.0004089186550118029,0.00011325965169817209,0.0,-0.00016627456502010292,-0.00013684076979838074,2.0350432529630744e-05,,54.68309783935547
1500,0.013176017440855503,0.0026130941696465015,0.0008443910046480596,1.2221524229971692e-05,3.162600478390232e-05,0.0002154990506824106,6.533501436933875e-05,2.73122822136429e-07,0.00019520538626238704,0.0002142682351404801,8.210969099309295e-05,0.0,-0.00024835701692716724,-8.471978171117919e-05,2.911819805480342e-05,,82.00931215286255
2000,0.06225365027785301,0.0029722903855144978,0.0010575808119028807,2.6912963221548125e-05,0.002003611996769905,0.0009264035033993423,8.343822264578193e-05,1.453765798942186e-05,0.000183867261512205,9.720389061840251e-05,0.00010080201900564134,0.0,-0.000474038053135028,-9.008490882656614e-05,3.2040434965179866e-05,,109.38669967651367
2500,0.010333840735256672,0.002536015585064888,0.0005228975787758827,3.38102581736166e-05,5.8354626162326895e-06,0.0001688850170467049,5.884968049940653e-05,2.4288829081342556e-07,0.0003063285839743912,0.0002701898047234863,4.8473892093170434e-05,0.0,-0.0006279608484543877,-0.00015515884113750602,4.394340449726322e-05,,136.63541960716248
3000,0.013589330948889256,0.0025477586314082146,0.0005051849293522537,2.5637824364821427e-05,0.00016304194286931306,0.00021331296011339873,5.59863583475817e-05,8.133568371704314e-06,0.000275764730758965,0.0002263676724396646,2.8924383514095098e-05,0.0,-0.0007050353929994902,-0.00015853619938567879,5.5839168782345974e-05,,163.9229633808136
3500,0.027880210429430008,0.0023054061457514763,0.0003631577710621059,2.902156120399013e-05,6.743013364030048e-05,0.00023109864559955895,0.00039506290340796113,5.912204983360425e-07,0.00026434953906573355,0.0003086290380451828,2.773792584775947e-05,0.0,-0.0009379503273904536,-0.00017663559117094674,6.732548428264006e-05,,191.19858527183533
4000,0.007523802574723959,0.002615056000649929,0.00038064896943978965,1.4533639841829427e-05,3.107702923443867e-06,9.716641216073185e-05,3.542015474522486e-05,5.373819931264734e-07,0.0002480378607288003,0.0001919653150252998,2.740087074926123e-05,0.0,7.525706975005514e-05,-0.00013164249906038594,3.974596888386278e-06,,218.58316612243652
4500,0.006968026049435139,0.002338770776987076,0.00032245443435385823,1.4362084584718104e-05,7.75824264565017e-06,8.057482045842335e-05,3.738573286682367e-05,5.44636634458584e-07,0.00026248005451634526,0.00018189585534855723,2.130911343556363e-05,0.0,0.00016060306669707814,-0.00014546055814035493,-1.8856589781464372e-06,,245.9948661327362
5000,0.006876473315060139,0.002313717035576701,0.00030014876392669976,3.5593726352090016e-05,2.9210013963165693e-06,8.129311754601076e-05,3.578578616725281e-05,4.207998358651821e-07,0.00026546535082161427,0.00011967589671257883,2.2507254470838234e-05,0.0,0.0008437825246698538,-7.899901006860519e-05,-5.546047231790724e-05,,273.3660171031952
