step,loss,pde,div,near_pde,near_div,bc_vel,wall,gauge,far_cp,outflow_cp,kutta,data,CL_pressure,CD_pressure,CM_ref,cp_mae_vs_xfoil,time_sec
1,13.218796730041504,0.04230624437332153,0.001140197622589767,0.1722709834575653,1.4355804523802362e-05,1.5519556999206543,0.018285056576132774,0.605769693851471,0.4225481152534485,0.43306976556777954,0.0,0.11495261639356613,0.05400868303010883,-0.0372285217190711,-0.003301417210542869,0.4112154245376587,0.06349587440490723
500,1.5335273742675781,0.07373473793268204,0.013572802767157555,7.008653163909912,0.054440971463918686,0.0031757596880197525,0.004955758340656757,0.0016582438256591558,0.07288824021816254,0.10009030997753143,0.0,0.007709198631346226,0.8039354889180095,0.009061870565256168,-0.15021098224739315,0.0669928789138794,27.811305046081543
1000,0.4617410898208618,0.0768846720457077,0.010200714692473412,1.3523142337799072,0.09654267877340317,0.008805280551314354,0.030232246965169907,0.0008013418409973383,0.047874998301267624,0.04623132944107056,0.0,0.001123072812333703,0.7963989767204277,-0.004269987519506066,-0.15210396873623125,0.03744162619113922,55.49474334716797
1500,0.26043766736984253,0.059330590069293976,0.007058036979287863,0.5956209301948547,0.06704198569059372,0.0041983406990766525,0.020141392946243286,0.0019285135203972459,0.05578363314270973,0.04474431276321411,0.0,0.0005787828704342246,0.7884073859172567,0.005475079912306738,-0.149594898455269,0.027993783354759216,83.34904289245605
2000,0.16903023421764374,0.033609502017498016,0.005778064951300621,0.42779242992401123,0.027621738612651825,0.0049047465436160564,0.013387058861553669,0.0018684838432818651,0.05668753385543823,0.02863762527704239,0.0,0.000375771545805037,0.8252073930704938,0.006141752816141363,-0.15301573494772372,0.024618230760097504,111.00490117073059
2500,2.2361812591552734,0.10952695459127426,0.01841970905661583,9.948966026306152,0.18819689750671387,0.04925046116113663,0.03220159560441971,0.04821288585662842,0.10555723309516907,0.03363024443387985,0.0,0.00922946073114872,0.7653242332362498,0.014526880637049072,-0.15889087155589637,0.1613672822713852,138.7187249660492
3000,0.20093151926994324,0.05855948477983475,0.009919211268424988,0.9472646117210388,0.044099628925323486,0.0050830598920583725,0.010355641134083271,0.00035819128970615566,0.03311538323760033,0.01171821728348732,0.0,0.00022346348850987852,0.7861248216777614,0.0013614007581021492,-0.14884143709886435,0.020845960825681686,166.460853099823
3500,0.08093287795782089,0.04915672913193703,0.00473856832832098,0.317410409450531,0.023800911381840706,0.0014589057536795735,0.0033826264552772045,0.00032356291194446385,0.03685139864683151,0.016044912859797478,0.0,0.00015481433365494013,0.7637503963026908,-0.0008116569973587034,-0.1476894220292595,0.027259888127446175,194.17979049682617
4000,0.060255616903305054,0.0321960374712944,0.003376750973984599,0.17695499956607819,0.021065566688776016,0.0007430488476529717,0.002273279707878828,6.516547000501305e-05,0.03714175149798393,0.01525622047483921,0.0,0.00017626213957555592,0.8056216943699392,0.0010616593432536542,-0.15065197828480179,0.036020830273628235,221.99640274047852
4500,0.04668465629220009,0.03058360517024994,0.0037048037629574537,0.1762559711933136,0.013625146821141243,0.0006407339824363589,0.0018046614713966846,8.625703048892319e-05,0.04063359275460243,0.014204240404069424,0.0,0.00010303680755896494,0.7978112280089521,0.0037649731209421777,-0.15067881298615837,0.02377445623278618,249.8628113269806
5000,0.05201500654220581,0.037722066044807434,0.0023916391655802727,0.14256532490253448,0.0167840588837862,0.000544305716175586,0.0019223428098484874,8.742417412577197e-05,0.03810078650712967,0.012581506744027138,0.0,0.00016837252769619226,0.7816574786315265,-0.0002771086880872381,-0.1478936853170082,0.024540729820728302,277.62505531311035
