case,Re,alpha_deg,fourier,w_kutta,w_data,w_far_cp,CL_pressure,CD_pressure,CM_ref,CL_xfoil,Cp_MAE_vs_XFOIL,final_loss,final_pde,final_wall,time_sec,case_dir
01_baseline_Re200,200.0,5.0,False,0.0,0.0,0.0,0.0010110327869474977,-0.007139430544590475,7.13455720038371e-05,,,0.0187448281794786,0.0030506409239023,0.0001999158994294,265.4919183254242,runs_pinn_failure_v2_full/01_baseline_Re200
02_farCp_all_boundaries,200.0,5.0,False,0.0,0.0,1.0,0.001041098151204573,-0.007071581043218201,7.099195250952553e-05,,,0.0078817130997776,0.0031977714970707,3.057935100514442e-05,265.76719307899475,runs_pinn_failure_v2_full/02_farCp_all_boundaries
03_outflowCp_right_top,200.0,5.0,False,0.0,0.0,0.0,0.0007425089595627218,-0.007095514524989294,9.134370941165336e-05,,,0.0082466583698987,0.0031298226676881,3.493700205581263e-05,265.45117926597595,runs_pinn_failure_v2_full/03_outflowCp_right_top
04_fourier_Re200,200.0,5.0,True,0.0,0.0,0.0,0.0008121362470883486,-0.006461666886679834,-0.00032857724303918777,,,0.0166249889880418,0.0036560920998454,1.1360050848452374e-05,436.27110862731934,runs_pinn_failure_v2_full/04_fourier_Re200
05_kutta_Re200,200.0,5.0,False,2.0,0.0,0.0,0.0005699389645053952,-0.007044437780371455,0.00012455920237574789,,,0.0127261132001876,0.0029874299652874,0.0001183912099804,271.66614532470703,runs_pinn_failure_v2_full/05_kutta_Re200
10_Re1000_pure,1000.0,5.0,False,0.0,0.0,0.0,0.0003243275392658142,-0.0014008316797340609,1.0621863040672502e-05,,,0.0367984659969806,0.002378896344453,0.0005805483087897,259.03765773773193,runs_pinn_failure_v2_full/10_Re1000_pure
10_Re20000_pure,20000.0,5.0,False,0.0,0.0,0.0,0.00045236411959419926,0.0001511906589566677,-3.091389506361571e-05,,,0.0074882884509861,0.0023149126209318,4.34405155829154e-05,263.68984937667847,runs_pinn_failure_v2_full/10_Re20000_pure
10_Re200_pure,200.0,5.0,False,0.0,0.0,0.0,0.0007013838779264008,-0.0071533552866451106,0.0001132699124687872,,,0.0081267589703202,0.0030436706729233,4.11823348258622e-05,266.93780851364136,runs_pinn_failure_v2_full/10_Re200_pure
10_Re5000_pure,5000.0,5.0,False,0.0,0.0,0.0,-0.0027157827820633498,-0.0003540892580312743,0.00023857958082686669,,,0.0091909067705273,0.0023235725238919,3.153108264086768e-05,265.30621814727783,runs_pinn_failure_v2_full/10_Re5000_pure
11_Re1000_kutta,1000.0,5.0,False,2.0,0.0,0.0,0.00020967135409682015,-0.0014978639940313857,3.0972591656207304e-05,,,0.0082434117794036,0.0023382164072245,3.207423287676647e-05,273.3460702896118,runs_pinn_failure_v2_full/11_Re1000_kutta
11_Re20000_kutta,20000.0,5.0,False,2.0,0.0,0.0,0.0002845873085007907,0.00011281409610315254,-1.3791515927702447e-05,,,0.0074015385471284,0.0022707602474838,3.715561615535989e-05,273.1154685020447,runs_pinn_failure_v2_full/11_Re20000_kutta
11_Re200_kutta,200.0,5.0,False,2.0,0.0,0.0,0.0005699389645053952,-0.007044437780371455,0.00012455920237574789,,,0.0127261132001876,0.0029874299652874,0.0001183912099804,273.44805669784546,runs_pinn_failure_v2_full/11_Re200_kutta
11_Re5000_kutta,5000.0,5.0,False,2.0,0.0,0.0,0.0008437825246698538,-7.899901006860519e-05,-5.546047231790724e-05,,,0.0068764733150601,0.0023137170355767,3.578578616725281e-05,273.3660171031952,runs_pinn_failure_v2_full/11_Re5000_kutta
20_xfoil_data_only_surface,200.0,5.0,False,0.0,100.0,0.0,0.7922008796027349,-0.0010823992924117454,-0.14545833803089012,0.79941373077134,0.025520479306578636,0.0252658780664205,1.0194084644317627,8.14043050922919e-06,277.47591400146484,runs_pinn_failure_v2_full/20_xfoil_data_only_surface
21_xfoil_data_weakPDE,200.0,5.0,False,0.0,100.0,0.0,0.7816574786315265,-0.0002771086880872381,-0.1478936853170082,0.79941373077134,0.024540729820728302,0.0520150065422058,0.0377220660448074,0.0019223428098484,277.62505531311035,runs_pinn_failure_v2_full/21_xfoil_data_weakPDE
